,A1,A2.1,A2.2,A2.3,A2.4,A2.5,A2.6,A2.7,A2.8,A2.9,A2.10,A2.11,A2.12,A2.13,A3.1,A3.2,A3.3,A3.4,TXT,B1,B2,B3,B4,B5,                                                  
53,1,6,4,4,5,4,5,3,3,3,3,3,3,3,6,6,6,6,,1,19,1,1,0,                                                                                                               
54,1,6,5,7,7,6,6,5,6,5,5,6,6,5,6,6,6,6,,1,20,1,1,0,                                                                                                               
55,1,6,6,6,6,6,6,7,7,7,6,6,6,6,6,7,6,6,,1,19,1,1,0,                                                                                                               
56,1,6,4,7,5,5,6,6,6,5,7,6,7,5,6,7,7,6,realização de mais momentos de avaliação à parte teórica,1,20,1,1,0,                                                       
57,1,7,5,6,6,6,5,5,6,6,7,6,7,5,7,7,7,7,talvez incluir alguma informação que tem em recursos extra como comparando o modelo e-r e os diagramas de classes no pdf pr
58,1,7,6,7,7,7,7,6,7,6,7,6,6,6,6,7,7,7,,1,31,1,1,0,                                                                                                               
59,1,7,5,6,7,7,7,4,7,7,6,3,4,4,6,7,6,6,,1,19,1,1,0,                                                                                                               
60,1,5,5,5,6,6,6,5,5,6,6,5,5,5,6,6,5,5,,2,18,1,1,0,                                                                                                               
61,1,4,5,6,7,6,7,7,7,6,7,5,5,5,5,6,7,7,,1,25,2,3,1,                                                                                                               
62,1,6,6,6,6,7,6,5,6,6,7,6,6,6,5,6,6,6,,1,21,2,,1,                                                                                                                
63,1,7,6,6,7,7,7,6,7,7,7,6,6,6,7,7,7,7,,1,31,2,1,1,                                                                                                               
64,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,1,44,2,2,1,                                                                                                               
65,1,7,4,6,6,7,7,5,6,6,4,5,4,4,5,6,5,5,,1,28,2,1,0,                                                                                                               
66,1,3,4,6,6,7,6,6,6,6,7,5,6,6,3,6,6,7,,1,25,2,1,1,                                                                                                               
67,1,5,6,6,5,7,7,7,7,5,7,7,7,7,6,7,6,5,matéria demasiado densa. Devia ser reduzido e concentrar foco na analise estruturada e analise orientada a objetos,1,53,2,1
68,1,7,4,5,5,6,5,7,7,7,7,7,7,7,7,7,7,7,aulas mais práticas,1,41,2,2,1,                                                                                            
69,1,5,5,5,6,7,6,6,6,6,6,6,6,6,6,6,6,6,,1,22,1,1,0,                                                                                                               
70,1,7,6,6,5,6,6,5,6,5,7,6,6,7,7,6,6,6,,1,20,2,1,1,                                                                                                               
71,1,5,5,6,6,6,6,7,7,5,7,5,5,5,5,6,7,6,mais exercicios nas aulas,1,20,1,1,0,                                                                                      
72,1,4,4,6,6,5,5,4,6,6,6,6,5,4,5,6,7,6,,1,22,1,1,0,                                                                                                               
73,1,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,,1,20,1,1,0,                                                                                                               
74,1,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,realizar trabalhos (testes com submissão no elearning) que obriga os alunos a estudar mais,1,21,1,1,1,                     
75,1,7,6,6,6,7,6,6,6,4,5,5,5,4,7,5,6,6,,1,18,1,1,0,                                                                                                               
76,1,2,3,5,4,5,5,5,5,3,5,5,4,4,4,5,5,4,,1,21,1,1,1,                                                                                                               
77,1,6,4,6,7,7,6,5,6,6,7,7,7,7,6,6,6,6,,1,21,1,1,1,                                                                                                               
78,1,6,5,6,7,5,7,4,6,7,6,5,5,5,6,7,5,6,,1,18,1,1,0,                                                                                                               
